fixed_vignette,polarity,trait,vignette,sentence,verb,verb_object,verb_and_object,valence,bagOfWords,Intent,Meaning,Context Meaning,score
You not showing up to work on time because of another interview.,negative,disloyal,Not showing up to work on time because of another interview.,you showing work time another interview,showing,showing you, ,5.91,to relax,"[['none'], ['mean'], ['happy'], ['win'], ['have', 'fun'], ['angry'], ['have', 'a', 'good', 'time'], ['make', 'a', 'good', 'impression'], ['make', 'a', 'prank'], ['make', 'the', 'other', 'person', 'happy']]","['carry', 'shift', 'carryover', 'assignation', 'service', 'servicing', 'second', 'slow', 'seconds', 'indenture', 'occupation', 'reserve', 'performance', 'day', 'reserves', 'study', 'escort', 'temporize', 'moonlight', 'apprentice', 'apprenticed', 'indentured', 'turret', 'prep', 'skin', 'collaborate', 'again', 'question', 'play', 'job', 'cover', 'planisphere', 'envious', 'salary', 'journey', 'follow', 'superposition', 'live', 'timecard', 'paraphrase', 'old', 'negative', 'leading', 'action replay', 'replay', 'bet', 'can', 'matter', 'return', 'returning', 'returns', 'rerun', 'anachronism', 'bets', 'betting', 'brt', 'relation', 'hour', 'power', 'that', 'analemma', 'timetable', 'over', 'schedule', 'this', 'read', 'contrast', 'contractor', 'cybersex', 'parting', 'chromatogram', 'base', 'for', 'running', 'interim', 'quotient', 'aging', 'disc', 'synesthesia', 'sandglass', 'idle', 'showtime', 'first', 'have', 'scheduled', 'scheduling', 'square', 'work-release', 'jail', 'split', 'paraphrasing', 'clas', 'pastime', 'derivative', 'synchronize', 'gnomon', 'parody', 'round', 'services', 'come']","{'showing work interview of': ['prep', 'stemma', 'profile', 'salon', 'variorum', 'laborious', 'pentimento', 'checkerwork', 'raised', 'questioning', 'dialogue', 'examination', 'reporting', 'catechism', 'question', 'questions', 'speech', 'talk', 'hearing', 'job', 'play', 'see', 'appointment', 'ask', 'assignation', 'cover', 'discussion', 'give', 'servicing', 'upkeep', 'triangulation', 'statement', 'depth', 'follow', 'acquit', 'ans', 'foot', 'minute', 'minutes', 'rice', 'suit', 'about', 'build', 'how', 'comfortable', 'offer', 'panel', 'panelled', 'panelling', 'permission']}",0.83
You saying bad things about your place of employment.,negative,disloyal,Saying bad things about your place of employment.,you saying bad things place employment,saying,saying you, ,5.91,to irritate everybody,"[['none'], ['mean'], ['happy'], ['mean', '.'], ['a', 'good', 'friend'], ['make', 'a', 'decision'], ['do', 'something', 'else'], ['a', 'good', 'person'], ['do', 'something'], ['make', 'the', 'other', 'person', 'happy']]","['alternation', 'service', 'services', 'servicing', 'correlative', 'wau', 'situation', 'qualification', 'paranoia', 'dilemma', 'medium', 'exchange', 'placed', 'move', 'placing', 'qualify', 'position', 'live', 'group', 'order', 'work', 'qualifying', 'substitute', 'evil', 'wrong', 'home', 'substituting', 'stand', 'exchanged', 'shop', 'paramour', 'art', 'joint', 'paramore', 'bind', 'accessory', 'accidental', 'dystopia', 'elevation', 'line', 'timetable', 'blackguard', 'exile', 'villainous', 'time-table', 'assignation', 'news', 'pib', 'pim', 'pin', 'pinning', 'limbo', 'niche', 'hell', 'sleep', 'drift', 'moves', 'perquisite', 'instruction', 'drifting', 'fiddle', 'succession', 'sacred', 'sacrilege', 'lot', 'hang', 'cigarette', 'vagabond', 'call', 'speak', 'ferry', 'application', 'nothing', 'break', 'hard', 'ill', 'pain', 'say', 'mal', 'tabernacle', 'said', 'sau', 'combination', 'distance', 'juncture', 'notation', 'peg', 'horae', 'horse', 'paradise', 'satan', 'nest', 'ordinary', 'taboo', 'commonplace', 'associate', 'heaven', 'mean', 'shopping', 'stressed']","{'saying things place of': ['alternation', 'joint', 'wau', 'junction', 'talk', 'elevation', 'accidental', 'intersection', 'lift', 'medium', 'sort', 'timetable', 'ana', 'line', 'luft', 'news', 'pib', 'pim', 'pin', 'pinning', 'correlative', 'time-table', 'transposition', 'limbo', 'sacrilege', 'hell', 'interpose', 'succession', 'distance', 'ferry', 'group', 'juncture', 'order', 'substitute', 'succeed', 'confluence', 'gather', 'break', 'class', 'come', 'coordinate', 'crossing', 'every', 'evidence', 'evidenced', 'exchange', 'exchanged', 'notation', 'peg', 'safe']}",0.83
You not going to a friends art opening.,negative,disloyal,Not going to a friends art opening.,you going friends art opening,going,going you, ,6.32,to have fun,"[['none'], ['have', 'fun'], ['mean'], ['happy'], ['with', 'someone'], ['have', 'a', 'good', 'time'], ['a', 'good', 'friend'], ['make', 'someone', 'happy'], ['have', 'a', 'relationship'], ['get', 'to', 'know', 'them']]","['gang', 'visited', 'egress', 'frame', 'round', 'rounds', 'turn', 'turned', 'fast', 'piece', 'college', 'angel', 'love', 'leading', 'visit', 'make', 'put', 'entry', 'sunder', 'touch', 'touched', 'war', 'reception', 'move', 'run', 'yeah', 'yes', 'descend', 'let', 'egg', 'affliction', 'bring', 'evangelist', 'queue', 'canon', 'ring', 'rings', 'direct', 'develop', 'man', 'open', 'conference', 'close', 'ship', 'shipped', 'beatification', 'cancer', 'catholic', 'connection', 'mission', 'nazarene', 'reformed', 'robe', 'greet', 'casual', 'solitude', 'use', 'used', 'call', 'draw', 'die', 'dir', 'dedication', 'pop', 'album', 'mak', 'stand', 'pregame', 'best', 'vernissage', 'pediment', 'window', 'hold', 'associate', 'homesickness', 'part', 'amicable', 'crowd', 'fellowship', 'important', 'leafing', 'meet', 'outgoing', 'recession', 'canvass', 'canvasses', 'canvassing', 'lifelong', 'politics', 'amity', 'forsake', 'forsaken', 'forsaking', 'drove', 'issue', 'werewolf', 'jeffersonian simplicity', 'drop', 'support', 'free']","{'going to a friends art': ['gang', 'visited', 'pregame', 'fast', 'round', 'rounds', 'turn', 'turned', 'piece', 'piecing', 'hold', 'amicable', 'associate', 'college', 'crowd', 'fellowship', 'important', 'love', 'leading', 'leafing', 'meet', 'angel', 'politics', 'amity', 'drove', 'make', 'put', 'touch', 'touched', 'entry', 'free', 'move', 'practicing', 'student', 'sunder', 'werewolf', 'run', 'yeah', 'yes', 'carry', 'descend', 'encountering', 'heavy', 'let', 'shoot', 'visit', 'affliction', 'reproduction', 'war', 'know']}",0.8
You going against a leader's decisions that you voted for.,negative,disloyal,Going against a leader's decisions that you voted for.,you going leader decisions voted,going,going you, ,6.32,to be there,"[['none'], ['mean'], ['win'], ['happy'], ['@@UNKNOWN@@'], ['hurt', 'someone'], ['hurt', 'the', 'other', 'person'], ['a', 'good', 'friend'], ['a', 'good', 'person'], ['make', 'the', 'other', 'person', 'happy']]","['resolution', 'passed', 'vote', 'rule', 'ruled', 'pass', 'management style', 'start', 'strat', 'accept', 'accepting', 'appearance', 'dispensation', 'overrule', 'law', 'dogma', 'mayor', 'draa', 'drama', 'injunction', 'representative', 'tack', 'aut', 'election', 'accepted', 'initiative', 'exception', 'direction', 'descend', 'escape', 'fall', 'falls', 'flies', 'free', 'march', 'oblique', 'passage', 'round', 'turn', 'hand', 'handing', 'bond', 'churchwarden', 'latitudinarian', 'route', 'deacon', 'father', 'power', 'other', 'ballot', 'discharged', 'motion', 'call', 'change', 'dall', 'escaped', 'fly', 'heretic', 'line', 'reader', 'settle', 'whip', 'registered', 'out', 'final', 'fail', 'hostile', 'leave', 'leaving', 'ulterior', 'oppose', 'archangel', 'but', 'canvass', 'canvasses', 'canvassing', 'consent', 'consenting', 'double cross', 'indignation', 'interlocutory', 'jubilee', 'measure', 'mind', 'mindfulness', 'navigation', 'pedometer', 'poll', 'polls', 'preference', 'voluntary', 'decision', 'foreign', 'recall', 'agreed', 'questions', 'veto', 'choose', 'through', 'changing']","{""going decisions a 's"": ['action', 'anything', 'making', 'outcome', 'stops', 'deputation', 'acts', 'back', 'bak', 'nack', 'think', 'bad', 'everything', 'institute', 'politics', 'things', 'wrong', 'precedent', 'actions', 'adjudicate', 'adjudication', 'bribery', 'choices', 'choose', 'contrarian', 'decide', 'decided', 'decides', 'deciding', 'decision', 'decision-making', 'decretal', 'deliberate', 'determine', 'direct', 'direction', 'discretion', 'draw', 'execute', 'executed', 'final', 'influence', 'judgment', 'judicial', 'jurisprudence', 'others', 'penitentiary', 'policies', 'policy', 'policy-making']}",0.96
You changing jobs when a salary increase is available at another facility.,negative,disloyal,Changing jobs when a salary increase is available at another facility.,you changing jobs salary increase available another facility,changing,changing jobs, ,,to provide employment,"[['none'], ['help'], ['helpful'], ['happy'], ['make', 'someone', 'happy'], ['a', 'good', 'friend'], ['make', 'a', 'good', 'impression'], ['have', 'a', 'good', 'time'], ['do', 'something'], ['get', 'a', 'good', 'deal']]","['raise', 'shift', 'conversion', 'differential', 'exchange', 'exchanged', 'substitute', 'cut', 'work', 'inflation', 'investment', 'rent', 'renting', 'discharge', 'turnstile', 'hold', 'funds', 'entropy', 'commerce', 'make', 'change', 'advance', 'lock', 'locking', 'locks', 'better', 'processing', 'gain', 'float', 'space', 'variation', 'vetter', 'money', 'index', 'indexed', 'indexing', 'put', 'converter', 'language', 'second', 'commutation', 'motion', 'expansion', 'commute', 'indicator', 'jump', 'seed', 'nest', 'bill', 'adjust', 'slope', 'processed', 'break', 'over', 'discharged', 'discharging', 'calorimeter', 'rise', 'utility', 'settled', 'force', 'advancing', 'job', 'family', 'derivative', 'export', 'slave', 'spread', 'ambulatory', 'transit', 'transitively', 'equal', 'mount', 'shuffle', 'shuffled', 'resource', 'trimmed', 'critical', 'escalator', 'swing', 'build', 'trim', 'flux', 'allowance', 'influence', 'impact', 'development', 'boost', 'switch', 'convert', 'draft', 'compound', 'slip', 'supply', 'banked', 'drafted', 'equilibrium', 'tack', 'displacement', 'grace']","{'jobs available a salary': ['jobcentre', 'work', 'employed', 'hold', 'unemployment', 'employment', 'business', 'dink', 'excise', 'golden parachute', 'goldenrod', 'outplacement', 'professional', 'working', 'works program', 'use', 'duty', 'fired', 'floater', 'job', 'placement', 'pork', 'post', 'sheltered workshop', 'sweatshop', 'cleared', 'hire', 'make', 'clear', 'commission', 'commissioning', 'employ', 'establishment', 'fee', 'flow-on', 'income', 'outfit', 'prebend', 'sinecure', 'superannuation', 'wage', 'wages', 'labor', 'money', 'earn', 'employee', 'gain', 'gaining', 'paycheck', 'perquisite']}",0.93
"You working for nissan, but buying a new honda.",negative,disloyal,"Working for Nissan, but buying a new Honda.",you working nissan buying new honda,working,working you, ,5.05,to raise his standard of living,"[['none'], ['have', 'fun'], ['play'], ['make', 'money'], ['the', 'best'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['make', 'a', 'good', 'impression'], ['make', 'the', 'other', 'person', 'happy'], ['make', 'the', 'other', 'person', 'feel', 'better']]","['boycott', 'dealing', 'spread', 'market', 'enterprise', 'spreading', 'open', 'raider', 'trade-in allowance', 'renter', 'prototype', 'program', 'street', 'sweatshop', 'effervescence', 'husky', 'prototyped', 'prototyping', 'realign', 'refurbished', 'refurbishing', 'tiger team', 'car', 'leaf', 'fit', 'frontier', 'insight', 'pilot', 'sol', 'tow', 'scaling', 'teme', 'term', 'terms', 'foliation', 'symbol', 'trade', 'trades', 'shop', 'pyramid', 'buyback', 'custom', 'merchant', 'purchase', 'repurchase', 'trader', 'acquisition', 'marketing', 'impulse', 'shopping', 'business', 'liquidity', 'money', 'accumulation', 'arbitrage', 'badgering', 'brok', 'broke', 'focus group', 'hustle', 'hustling', 'leverage', 'exchange', 'exchanged', 'commerce', 'pick', 'right', 'scores', 'scoring', 'merchandise', 'deposit', 'rights', 'offset', 'better', 'browse', 'fair', 'gear', 'tackling', 'automatic', 'get', 'make', 'service', 'operate', 'picket', 'picketing', 'plumbing', 'deal', 'step', 'turn', 'work', 'commission', 'timing', 'think', 'accession', 'accessions', 'agreement', 'climb', 'followup', 'grip', 'gripping']","{'working buying a new': ['boycott', 'dealing', 'spread', 'market', 'enterprise', 'spreading', 'raider', 'trade-in allowance', 'renter', 'prototype', 'program', 'street', 'sweatshop', 'effervescence', 'husky', 'prototyped', 'prototyping', 'realign', 'refurbished', 'refurbishing', 'tiger team', 'trade', 'trades', 'business', 'deal', 'step', 'turn', 'work', 'commission', 'timing', 'shop', 'pyramid', 'buyback', 'custom', 'merchant', 'purchase', 'repurchase', 'trader', 'acquisition', 'marketing', 'impulse', 'shopping', 'liquidity', 'money', 'accumulation', 'arbitrage', 'badgering', 'brok', 'broke', 'focus group']}",0.89
You helping a person at the store when they are short on money.,positive,friendly,Helping a person at the store when they are short on money.,you helping person store short money,helping,helping you, ,6.95,to purchase the item,"[['none'], ['happy'], ['have', 'fun'], ['mean'], ['have', 'a', 'good', 'time'], ['a', 'good', 'friend'], ['make', 'someone', 'happy'], ['make', 'a', 'good', 'impression'], ['a', 'good', 'person'], ['have', 'a', 'good', 'time', '.']]","['fund', 'funds', 'reward', 'maintenance', 'budget', 'stake', 'bail', 'back', 'spell', 'pay', 'tax', 'price', 'bist', 'bust', 'busting', 'supply', 'credit', 'boycott', 'creditor', 'steward', 'commemorative', 'atm', 'warrant', 'settlement', 'benefit', 'aid', 'help', 'sidetrack', 'portion', 'aided', 'aif', 'aud', 'aiding', 'salesclerk', 'economic aid', 'circumstance', 'rewarding', 'rewards', 'backer', 'donor', 'dole', 'bread', 'ration', 'contribution', 'share', 'till', 'blackmail', 'bond', 'good', 'box', 'contribute', 'bag', 'stock', 'coffer', 'keeps', 'patron', 'hand', 'clerk', 'salt', 'tilled', 'tilling', 'pool', 'relay', 'float', 'shop', 'note', 'angel', 'buffer', 'tithe', 'cache', 'double', 'montem', 'circulation', 'exchange', 'entry', 'payment', 'saving', 'line of credit', 'memorial', 'appropriation', 'capital', 'receiver', 'advance', 'advancing', 'profit', 'insurance', 'cash', 'mark', 'sight', 'subsidy', 'pricing', 'garnishment', 'miser', 'guide', 'power', 'powered', 'call', 'bet', 'remission', 'remittance']","{'helping short on': ['good', 'header', 'horae', 'horse', 'pat', 'piece', 'pile', 'serve', 'share', 'slop', 'subsidiary', 'sweep', 'second', 'seconds', 'spell', 'aide', 'pal', 'samaritan', 'absence', 'adjuvant', 'aid', 'anti', 'assist', 'assistance', 'assisting', 'autarky', 'boost', 'charity', 'contribution', 'deacon', 'dish', 'dose', 'educational', 'feeder', 'fosterage', 'friendly', 'furtherance', 'hand', 'help', 'helpless', 'leg', 'lift', 'luft', 'maintenance', 'medallion', 'mnemonic', 'more', 'philanthropic', 'portion', 'ration']}",0.7
You talking / helping out one who is an outsider.,positive,friendly,Talking / helping out one who is an outsider.,you talking helping one outsider,talking,talking you, ,6.64,to talk to people,"[['none'], ['mean'], ['have', 'fun'], ['happy'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['make', 'a', 'good', 'impression'], ['make', 'a', 'prank'], ['make', 'persony', 'happy'], ['make', 'the', 'other', 'person', 'happy']]","['lip', 'let', 'delusion', 'out of bounds', 'three-way calling', 'share', 'objective', 'speak', 'mouth', 'lap', 'gallery', 'shoe', 'phrontifugic', 'somniloquy', 'soliloquy', 'somniloquism', 'somniloquence', 'somnifacient', 'foreign', 'alien', 'layperson', 'outside', 'circumstance', 'self-sufficient', 'self-sufficing', 'part', 'shibboleth', 'buttonhole', 'refer', 'means', 'charm', 'condition', 'exercise', 'finesse', 'money', 'object', 'person', 'place', 'possess', 'shoptalk', 'side', 'sign', 'signed', 'stain', 'tread', 'amoebaeum', 'apostrophe', 'barrio', 'basement', 'catalonia', 'chasuble', 'commutator', 'conditions', 'each', 'filling', 'football', 'fornix', 'freeholder', 'gap financing', 'hakka', 'hakka dialect', 'humanity', 'hypothalamus', 'illeism', 'illeist', 'incommunicado', 'inflection', 'infundibulum', 'lapped', 'localization', 'metatarsus', 'offline', 'outer', 'outline', 'outlined', 'outsole', 'physiognomy', 'placed', 'placing', 'polyphase', 'porta', 'possessed', 'precontact', 'proportion', 'quadrant', 'quoth', 'reuse', 'reusing', 'right of way', 'scruple', 'scruples', 'shall', 'she', 'shop talk', 'spiracle', 'stained', 'story', 'thou', 'torus', 'twinkie']","{'talking helping one who is an': ['lip', 'phrontifugic', 'somniloquy', 'soliloquy', 'somniloquism', 'somniloquence', 'somnifacient', 'masturbation', 'second', 'support', 'education', 'header', 'seconds', 'talking point', 'leg', 'dish', 'interfere', 'speak', 'that', 'topic', 'tongue', 'piece', 'share', 'mnemonic', 'aid', 'aide', 'assist', 'assisted', 'caring', 'appeal', 'back', 'bearing', 'bottom', 'carry', 'cite', 'click', 'conversion', 'cue', 'defence', 'dribble', 'fall', 'flap', 'guard', 'lead', 'let', 'logrolling', 'passage', 'pay', 'pitch', 'plead']}",0.56
You helping a stranger pick up stuff they have dropped.,positive,friendly,Helping a stranger pick up stuff they have dropped.,you helping stranger pick stuff dropped,helping,helping you, ,6.95,to be there,"[['none'], ['mean'], ['have', 'fun'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['with', 'someone'], ['make', 'a', 'good', 'impression'], ['make', 'persony', 'happy'], ['a', 'good', 'person'], ['make', 'the', 'other', 'person', 'happy']]","['lsd', 'stemmed', 'stemming', 'west', 'round', 'aid', 'desert', 'bearing', 'float', 'pony', 'aut', 'out', 'rib', 'alien', 'lost', 'eib', 'rin', 'piece', 'sos', 'share', 'bracket', 'frame', 'land', 'outrigger', 'trestle', 'horse', 'second', 'support', 'right', 'leave', 'place', 'friendly', 'horae', 'estate', 'piecing', 'slab', 'field', 'flied', 'ride', 'designate', 'run', 'back', 'expected', 'leaving', 'spectacle', 'stepping', 'steps', 'casted', 'jack', 'jacked', 'jacking', 'jacks', 'cleared', 'clear', 'drain', 'give', 'rights', 'clog', 'bak', 'nack', 'pool', 'lie', 'clean', 'cast', 'book', 'booking', 'books', 'drive', 'guy', 'guyed', 'guys', 'huy', 'jig', 'key', 'part', 'patt', 'plate', 'section', 'shore', 'sleeper', 'spot', 'pearl', 'deserts', 'orphan', 'stock', 'strut', 'arch', 'cushion', 'hang', 'note', 'oost', 'picket', 'post', 'posted', 'railroad', 'shape', 'shaped', 'shaping', 'sill', 'stay']","{'helping pick stuff they have': ['education', 'agoraphobia', 'salvage', 'money', 'advisor', 'suggestion', 'lawyer', 'parity', 'spider', 'pib', 'pim', 'pin', 'pinning', 'plan', 'planned', 'planning', 'plans', 'meet', 'meets', 'can', 'lie', 'pack', 'bunting', 'nectar', 'tenter', 'tool', 'bear', 'profession', 'spar', 'get', 'see', 'attribute', 'brush', 'from', 'intervention', 'journal', 'logic', 'enough', 'right', 'thumb', 'advertising', 'anthropology', 'cards', 'disciple', 'foot', 'shell', 'angel', 'believe', 'rights', 'care']}",0.62
You when you offer aid to a stranger.,positive,friendly,When you offer aid to a stranger.,you offer aid stranger,offer,offer you, ,5.67,to offer someone another option,"[['none'], ['have', 'fun'], ['mean'], ['a', 'good', 'friend'], ['a', '@@UNKNOWN@@'], ['have', 'a', 'good', 'time'], ['have', 'a', 'relationship'], ['make', 'a', 'friend'], ['have', 'a', 'good', 'time', '.'], ['get', 'to', 'know', 'persony']]","['premise', 'premised', 'premises', 'rally round', 'slug', 'attention', 'panhandle', 'slugging', 'evidently', 'forth', 'speak', 'usher', 'open', 'render', 'bid', 'lot', 'show', 'surrender', 'surrendering', 'betray', 'bootstrap', 'lend-lease', 'mission', 'resource', 'betraying', 'dardanelles', 'dardanelles campaign', 'hospice', 'truman doctrine', 'admission', 'align', 'budget', 'calm', 'constitution', 'fellowship', 'gunpowder', 'localize', 'manhattan project', 'milk', 'milking', 'money center bank', 'nationalise', 'not', 'parity', 'pasigraphy', 'political risk insurance', 'roosevelt', 'say', 'spare', 'storeship', 'strike', 'technology', 'unilateralism', 'communicate', 'flash', 'key', 'sanction', 'set', 'chrestomathy', 'classify', 'consul', 'dam', 'indorse', 'passport', 'seal', 'tee', 'url', 'vat', 'channel', 'channelling', 'channels', 'comity', 'demonstration', 'det', 'double', 'famous', 'get', 'going', 'ground', 'grounded', 'import', 'introduced', 'leave', 'manage', 'managing', 'manaus', 'monetize', 'monitor', 'order', 'phrase', 'pocket', 'raise', 'resolve', 'resolving', 'rig', 'sets', 'showed', 'sir', 'subdue', 'transact']","{'You offer to a': ['afford', 'affords', 'apology', 'availability', 'available', 'bid', 'bids', 'bring', 'buy', 'counteroffer', 'deliver', 'delivered', 'delivering', 'delivers', 'delivery', 'display', 'give', 'given', 'gives', 'incense', 'introduction', 'make', 'motion', 'offered', 'offering', 'offerings', 'offers', 'overture', 'parade', 'present', 'presentation', 'presentations', 'presents', 'preview', 'proffer', 'proposal', 'proposals', 'propose', 'proposed', 'proposing', 'provide', 'provided', 'provides', 'providing', 'provision', 'put up', 'quotation', 'quotations', 'quote', 'sacrifice']}",0.65
You taking someone out and paying for it.,positive,friendly,Taking someone out and paying for it.,you taking someone paying,taking,taking you, ,4.82,to stall for time,"[['none'], ['happy'], ['mean'], ['have', 'fun'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['a', 'good', 'person'], ['make', 'someone', 'happy'], ['make', 'a', 'good', 'impression'], ['do', 'something', 'else']]","['retire', 'retribution', 'payback', 'debtor', 'fair use', 'conversion', 'dental hygienist', 'carefully', 'bribery', 'careless', 'studious', 'emphyteusis', 'crasher', 'gatecrasher', 'smuggler', 'runner', 'contrabandist', 'moon-curser', 'moon curser', 'unwelcome guest', 'cover', 'larceny', 'theft', 'embezzler', 'piracy', 'preoccupation', 'spell', 'stealing', 'thievery', 'vengeance', 'covers', 'plagiarism', 'toasted', 'defalcator', 'mistake', 'peculator', 'plagiarisation', 'plagiarization', 'take back', 'thieving', 'exploitive', 'jolt', 'jolted', 'jolting', 'preoccupancy', 'take-in', 'charging', 'return', 'break', 'charge', 'charged', 'draw', 'pass', 'freeing', 'attention', 'care', 'follow', 'paper', 'quit', 'turn', 'watch', 'gig', 'caution', 'hire', 'renting', 'subscriber', 'tenant', 'buy', 'cost', 'customs', 'farm', 'highball', 'incur', 'landlord', 'purchase', 'adoration', 'bear', 'credit', 'farmer', 'heed', 'owe', 'teller', 'honoring', 'ransom', 'ransomed', 'fund', 'hotel', 'scrape', 'turnstile', 'balance', 'free', 'redeem', 'deadhead', 'dutch', 'pedant', 'redeemed', 'redeeming', 'rental', 'retain', 'commoner']","{'taking paying for': ['carefully', 'bribery', 'retire', 'careless', 'studious', 'emphyteusis', 'charging', 'return', 'balance', 'balancing', 'break', 'charge', 'charged', 'club', 'draw', 'levant', 'observance', 'pass', 'retribution', 'suing', 'attentive', 'free', 'freeing', 'owing', 'attention', 'aware', 'between', 'care', 'careful', 'caution', 'conduct', 'exit', 'follow', 'gig', 'hedge', 'heedful', 'note', 'observation', 'overrun', 'paper', 'quit', 'sore', 'timed', 'timing', 'tithing', 'turn', 'watch', 'ademption', 'crash', 'heedless']}",0.7
You helping a person out with broken car.,positive,friendly,Helping a person out with broken car.,you helping person broken car,helping,helping you, ,6.95,to have hassle free travel,"[['none'], ['have', 'fun'], ['play'], ['a', 'good', 'friend'], ['with', 'someone'], ['have', 'a', 'good', 'time'], ['get', 'somewhere'], ['get', 'to', 'the', 'park'], ['get', 'a', 'good', 'time'], ['get', 'to', 'the', 'beach']]","['sleeper', 'ambulance', 'estate', 'whip', 'hack', 'ricer', 'hacking', 'patrol', 'piece', 'crock', 'lift', 'luft', 'reed', 'valet', 'vehicle', 'cab', 'support', 'bod', 'bpd', 'outrider', 'running', 'sedan', 'aud', 'entry', 'arrest', 'leg', 'lowrider', 'machine', 'cut', 'tow', 'help', 'portion', 'observation car', 'turret', 'machined', 'vegetable', 'nmap', 'protein', 'parachute', 'bit', 'crown', 'crowning', 'part', 'piecing', 'fraction', 'rack', 'bed', 'bef', 'brd', 'kick', 'kicks', 'placed', 'placing', 'map', 'adjuvant', 'circumstance', 'maintenance', 'encyclopedist', 'propaganda', 'conduct', 'float', 'door', 'kit', 'lot', 'lots', 'give', 'leave', 'let', 'lets', 'letting', 'monitor', 'leaving', 'spill', 'guard', 'bust', 'graft', 'harness', 'dead duck', 'haymaker', 'division', 'trunk', 'nurse', 'pull', 'quarter', 'element', 'jig', 'quarters', 'cart', 'bist', 'busting', 'tram', 'belt', 'control', 'controlled', 'controlling', 'drag', 'start', 'hatchback', 'butt', 'butted']","{'helping with broken': ['piece', 'slice', 'slop', 'still', 'cud', 'dish', 'educational', 'good', 'lift', 'luft', 'maintenance', 'medallion', 'pile', 'reconstructive', 'reward', 'rewarding', 'rewards', 'share', 'support', 'aid', 'aided', 'aif', 'anti', 'assistance', 'assisted', 'aud', 'breast', 'deacon', 'hand', 'handing', 'hay', 'header', 'helpless', 'horse', 'leg', 'medea', 'portion', 'service', 'sweep', 'what', 'absence', 'ate', 'grateful', 'turing', 'bandage', 'bit', 'bits', 'bran', 'breach', 'calorimeter']}",0.67
"You at the grocery store, somebody hits on the shelf, things fall off and you help pick everything up.",positive,friendly,"At the grocery store, somebody hits on the shelf, things fall off and you help pick everything up.",you grocery store somebody hits shelf things fall help pick everything,hits,hits you, ,3.95,to have enough food for his guests.,"[['none'], ['happy'], ['healthy'], ['eat'], ['@@UNKNOWN@@'], ['have', 'fun'], ['have', 'a', 'good', 'time'], ['make', 'a', 'good', 'impression'], ['do', 'something', 'else'], ['do', 'something']]","['drop', 'pack', 'set', 'shed', 'nail', 'round', 'give', 'dall', 'falls', 'shower', 'market', 'stock', 'hoard', 'environment', 'gather', 'gathered', 'wait', 'come', 'dress', 'aut', 'draw', 'place', 'slide', 'out', 'roll', 'start', 'dish', 'leg', 'strat', 'season', 'seasoned', 'nailing', 'nails', 'back', 'eats', 'diet', 'time', 'stomach', 'relay', 'stroke', 'cards', 'furnish', 'size', 'case', 'furnishing', 'dieting', 'meal', 'luft', 'check', 'order', 'deposit', 'stocked', 'stocks', 'lead', 'mess', 'feed', 'plate', 'demand', 'cover', 'covers', 'make', 'raise', 'family', 'fair', 'break', 'lift', 'trip', 'rounds', 'suit', 'deal', 'traffic', 'cast', 'frame', 'line', 'shop', 'all', 'light', 'crash', 'thing', 'desk', 'salt', 'food', 'build', 'reach', 'spoon', 'whip', 'finish', 'own', 'pwn', 'tip', 'det', 'mouth', 'gain', 'bargain', 'bargaining', 'enrich', 'mind', 'counter', 'commodity', 'gaining']","{'hits fall help everything up': ['opening', 'hang', 'trip', 'upping', 'ups', 'shake', 'bout', 'drop', 'come', 'jump', 'collapse', 'environment', 'fail', 'err', 'swoop', 'swooping', 'support', 'tail', 'lift', 'abet', 'shin', 'relief', 'curtain', 'miss', 'pick', 'fork', 'luft', 'assist', 'background', 'leg', 'supported', 'supporting', 'wind', 'heave', 'dall', 'falls', 'lag', 'tip', 'rise', 'pepper', 'peppered', 'crash', 'net', 'catch', 'hit', 'slaps', 'smothered', 'smothering', 'point', 'trips']}",0.61
